epoch,train_acc,test_acc,test_asr,best_acc,best_asr
40,90.0,85.8499984741211,0.0,85.8899917602539,0.0
41,90.0,85.77999877929688,0.0,85.8899917602539,0.0
42,90.0,85.89999389648438,0.0,85.89999389648438,0.0
43,90.0,85.81999206542969,0.0,85.89999389648438,0.0
44,90.0,85.65999603271484,0.0,85.89999389648438,0.0
45,90.0,85.75999450683594,0.0,85.89999389648438,0.0
46,90.0,85.94999694824219,0.0,85.94999694824219,0.0
47,90.0,85.65999603271484,0.0,85.94999694824219,0.0
48,90.0,85.78999328613281,0.0,85.94999694824219,0.0
49,90.0,85.7199935913086,0.0,85.94999694824219,0.0
50,90.0,85.78999328613281,0.0,85.94999694824219,0.0
51,90.0,85.57999420166016,0.0,85.94999694824219,0.0
52,90.0,85.60999298095703,0.0,85.94999694824219,0.0
53,90.0,85.64999389648438,0.0,85.94999694824219,0.0
54,90.0,85.74999237060547,0.0,85.94999694824219,0.0
55,90.0,85.79999542236328,0.0,85.94999694824219,0.0
56,90.0,85.53999328613281,0.0,85.94999694824219,0.0
57,90.0,85.87999725341797,0.0,85.94999694824219,0.0
58,90.0,85.80999755859375,0.0,85.94999694824219,0.0
59,90.0,85.7699966430664,0.0,85.94999694824219,0.0
60,90.0,85.81999206542969,0.0,85.94999694824219,0.0
61,90.0,85.6199951171875,0.0,85.94999694824219,0.0
62,90.0,85.62999725341797,0.0,85.94999694824219,0.0
63,90.0,85.38999938964844,0.0,85.94999694824219,0.0
64,73.8479995727539,73.60999298095703,0.0,85.94999694824219,0.0
65,80.90999603271484,78.02000427246094,0.0,85.94999694824219,0.0
66,84.34199523925781,81.7699966430664,0.0,85.94999694824219,0.0
67,86.24199676513672,82.36000061035156,0.0,85.94999694824219,0.0
68,87.22999572753906,81.95999908447266,0.0,85.94999694824219,0.0
69,87.57599639892578,79.05999755859375,0.0,85.94999694824219,0.0
70,88.31399536132812,82.2699966430664,0.0,85.94999694824219,0.0
71,89.13600158691406,84.08000183105469,0.0,85.94999694824219,0.0
72,88.89399719238281,84.23999786376953,0.0,85.94999694824219,0.0
73,88.96199798583984,82.9000015258789,0.0,85.94999694824219,0.0
74,88.65999603271484,79.6399917602539,0.0,85.94999694824219,0.0
75,89.26399993896484,83.6500015258789,0.0,85.94999694824219,0.0
76,89.14600372314453,84.5199966430664,0.0,85.94999694824219,0.0
77,89.47199249267578,83.87000274658203,0.0,85.94999694824219,0.0
78,89.52399444580078,82.58999633789062,0.0,85.94999694824219,0.0
79,89.5479965209961,83.4000015258789,0.0,85.94999694824219,0.0
80,89.7979965209961,84.72999572753906,0.0,85.94999694824219,0.0
81,89.83399963378906,84.75999450683594,0.0,85.94999694824219,0.0
82,89.8219985961914,85.55999755859375,0.0,85.94999694824219,0.0
83,89.84600067138672,83.87999725341797,0.0,85.94999694824219,0.0
84,89.84400177001953,85.22999572753906,0.0,85.94999694824219,0.0
85,89.9800033569336,85.64999389648438,0.0,85.94999694824219,0.0
86,90.0,86.0199966430664,0.0,86.0199966430664,0.0
87,90.0,85.87999725341797,0.0,86.0199966430664,0.0
88,90.0,86.17999267578125,0.0,86.17999267578125,0.0
89,90.0,86.06999206542969,0.0,86.17999267578125,0.0
90,90.0,86.38999938964844,0.0,86.38999938964844,0.0
91,90.0,86.44999694824219,0.0,86.44999694824219,0.0
92,90.0,86.55999755859375,0.0,86.55999755859375,0.0
93,90.0,86.63999938964844,0.0,86.63999938964844,0.0
94,90.0,86.55999755859375,0.0,86.63999938964844,0.0
95,90.0,86.79999542236328,0.0,86.79999542236328,0.0
96,90.0,86.67999267578125,0.0,86.79999542236328,0.0
97,90.0,86.4699935913086,0.0,86.79999542236328,0.0
98,90.0,86.62999725341797,0.0,86.79999542236328,0.0
